embedding_layer,transformer_layer_0,transformer_layer_1,transformer_layer_2,transformer_layer_3,transformer_layer_4,transformer_layer_5,transformer_layer_6,transformer_layer_7,transformer_layer_8,transformer_layer_9,transformer_layer_10,transformer_layer_11,FC_layer
11996160,338393088,338393088,338393088,338393088,338393088,338393088,338393088,338393088,338393088,338393088,338393088,338393088,12027904
13777920,413626880,413626880,413626880,413626880,413626880,413626880,413626880,413626880,413626880,413626880,413626880,413626880,13814272
8371200,205270528,205270528,205270528,205270528,205270528,205270528,205270528,205270528,205270528,205270528,205270528,205270528,8393216
9661440,249588224,249588224,249588224,249588224,249588224,249588224,249588224,249588224,249588224,249588224,249588224,249588224,9687040
4456448,78663680,78663680,78663680,78663680,78663680,78663680,78663680,78663680,78663680,78663680,78663680,78663680,3942400
11534336,297881088,297881088,297881088,297881088,297881088,297881088,297881088,297881088,297881088,297881088,297881088,297881088,10995712
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
4456448,88796160,88796160,88796160,88796160,88796160,88796160,88796160,88796160,88796160,88796160,88796160,89062400,4358656
5560320,120860160,120446464,120446464,120446464,120446464,120446464,120446464,120446464,120446464,120446464,120446464,120446464,5575168
7587840,180015104,180015104,180015104,180015104,180015104,180015104,180015104,180015104,180015104,180015104,180015104,180015104,7607808
