embedding_layer,transformer_layer_0,transformer_layer_1,transformer_layer_2,transformer_layer_3,transformer_layer_4,transformer_layer_5,transformer_layer_6,transformer_layer_7,transformer_layer_8,transformer_layer_9,transformer_layer_10,transformer_layer_11,FC_layer
7672832,110168576,110270976,110270976,110117376,110066176,110066176,110307328,110307328,110066176,110066176,110066176,110066176,9216
20262912,334120960,334120960,334120960,334120960,334120960,334120960,334120960,334120960,334120960,334136320,334167040,334182400,23552
25383936,458976768,458976768,458976768,458976768,458976768,458976768,458976768,458976768,458976768,458976768,458976768,458976768,30208
14278144,224447488,224447488,224447488,224447488,224447488,224447488,224447488,224447488,224447488,224447488,224447488,224447488,16896
26330624,481345536,481345536,481345536,481345536,481345536,481345536,481345536,481345536,481345536,481345536,481345536,481345536,31232
30251008,578041344,578041344,578041344,578041344,578041344,578041344,578041344,578041344,578041344,578041344,578041344,578041344,35840
19617280,306139648,305754624,305177088,305177088,305177088,305177088,305177088,305177088,305177088,305177088,305177088,305177088,22016
21363712,364456448,364456448,364456448,364456448,364456448,364456448,364456448,364456448,364456448,364456448,364456448,364456448,25088
8585216,124810240,124810240,124810240,124810240,124810240,124810240,124810240,124810240,124810240,124810240,124810240,124810240,10240
24664064,428448768,428448768,428448768,428448768,428448768,428448768,428448768,428448768,428448768,428448768,428448768,428448768,28672
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
10040832,139905536,139905536,139905536,139905536,139905536,139905536,139905536,139905536,139905536,139905536,139905536,139905536,11264
12372992,191673856,191198720,188347904,186447360,186447360,186447360,186447360,186447360,186447360,186447360,186447360,186447360,14848
16736256,269978624,269978624,269978624,270375936,271170560,271567872,269978624,270375936,269978624,269978624,269978624,269978624,19968
10080768,147526656,148016128,149257728,149257728,148278784,147299840,147299840,147299840,147299840,147299840,147299840,147299840,11776
28426240,536766976,536009216,536009216,536009216,534493696,532220416,532220416,532220416,532220416,532220416,532220416,532220416,33792
